C.A.,año,tipo de cultivo,litros de agua
Extremadura,2001,Patatas y hortalizas,129484
Extremadura,2001,Otros tipos de cultivos,217266
Extremadura,2002,Herbáceos,616005
Extremadura,2002,Frutales,68366
Extremadura,2002,Olivar y Viñedo,4223
Extremadura,2002,Patatas y hortalizas,232108
Extremadura,2002,Otros tipos de cultivos,451241
Extremadura,2003,Herbáceos,797102
Extremadura,2003,Frutales,80535
Extremadura,2003,Olivar y Viñedo,37565
Extremadura,2003,Patatas y hortalizas,231108
Extremadura,2003,Otros tipos de cultivos,323121
Extremadura,2004,Herbáceos,850060
Extremadura,2004,Frutales,63625
Extremadura,2004,Olivar y Viñedo,132702
Extremadura,2004,Patatas y hortalizas,219028
Extremadura,2004,Otros tipos de cultivos,151847
Extremadura,2005,Herbáceos,922278
Extremadura,2005,Frutales,68872
Extremadura,2005,Olivar y Viñedo,129648
Extremadura,2005,Patatas y hortalizas,186777
Extremadura,2005,Otros tipos de cultivos,119438
Extremadura,2006,Herbáceos,936788
Extremadura,2006,Frutales,70720
Extremadura,2006,Olivar y Viñedo,148805
Extremadura,2006,Patatas y hortalizas,112656
Extremadura,2006,Otros tipos de cultivos,143586
Extremadura,2007,Herbáceos,1002095
Extremadura,2007,Frutales,80923
Extremadura,2007,Olivar y Viñedo,211796
Extremadura,2007,Patatas y hortalizas,135171
Extremadura,2007,Otros tipos de cultivos,151249
Extremadura,2008,Herbáceos,987700
Extremadura,2008,Frutales,70120
Extremadura,2008,Olivar y Viñedo,254677
Extremadura,2008,Patatas y hortalizas,128098
Extremadura,2008,Otros tipos de cultivos,111817
Extremadura,2009,Herbáceos,879263
Extremadura,2009,Frutales,60028
Extremadura,2009,Olivar y Viñedo,200039
Extremadura,2009,Patatas y hortalizas,34903
Extremadura,2009,Otros tipos de cultivos,319904
Extremadura,2010,Herbáceos,996137
Extremadura,2010,Frutales,76500
Extremadura,2010,Olivar y Viñedo,219788
Extremadura,2010,Patatas y hortalizas,12010
Extremadura,2010,Otros tipos de cultivos,326131
Extremadura,2011,Herbáceos,1340961
Extremadura,2011,Frutales,116016
Extremadura,2011,Olivar y Viñedo,15164
Extremadura,2011,Patatas y hortalizas,129862
Extremadura,2011,Otros tipos de cultivos,368531
Extremadura,2012,Herbáceos,1306724
Extremadura,2012,Frutales,129772
Extremadura,2012,Olivar y Viñedo,34245
Extremadura,2012,Patatas y hortalizas,81107
Extremadura,2012,Otros tipos de cultivos,250530
Extremadura,2013,Herbáceos,1137887
Extremadura,2013,Frutales,95616
Extremadura,2013,Olivar y Viñedo,22689
Extremadura,2013,Patatas y hortalizas,93995
Extremadura,2013,Otros tipos de cultivos,270642
Extremadura,2014,Herbáceos,985644
Extremadura,2014,Frutales,74932
Extremadura,2014,Olivar y Viñedo,15851
Extremadura,2014,Patatas y hortalizas,135454
Extremadura,2014,Otros tipos de cultivos,229796
Extremadura,2015,Herbáceos,1057716
Extremadura,2015,Frutales,86978
Extremadura,2015,Olivar y Viñedo,35723
Extremadura,2015,Patatas y hortalizas,105616
Extremadura,2015,Otros tipos de cultivos,178727
Extremadura,2016,Herbáceos,1111952
Extremadura,2016,Frutales,96906
Extremadura,2016,Olivar y Viñedo,32849
Extremadura,2016,Patatas y hortalizas,159320
Extremadura,2016,Otros tipos de cultivos,176776
